Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Fabian Rüdlin,de GER,MF,Freiburg,27-006,1997,0.1,4,5,80.0,89,35,1,1,100.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
Julian Ryerson,no NOR,DF,Dortmund,26-063,1997,9.9,435,519,83.8,6789,1335,221,242,91.3,175,207,84.5,26,38,68.4,1,1.8,1.5,-0.8,9,20,5,4,31
Frederik Rønnow,dk DEN,GK,Union Berlin,31-168,1992,16.0,441,623,70.8,11788,8604,88,88,100.0,236,240,98.3,115,292,39.4,0,0.0,0.1,0.0,0,13,0,0,0
Marcel Sabitzer,at AUT,MF,Dortmund,29-308,1994,10.3,326,422,77.3,4889,1484,168,203,82.8,121,142,85.2,18,39,46.2,1,0.9,1.1,+0.1,10,35,14,1,52
Roland Sallai,hu HUN,"FW,MF",Freiburg,26-242,1997,9.4,198,295,67.1,2929,690,115,131,87.8,67,99,67.7,9,31,29.0,0,1.7,1.7,-1.7,16,8,17,7,19
Diadie Samassékou,ml MLI,MF,Hoffenheim,28-008,1996,0.0,2,2,100.0,25,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Jadon Sancho,eng ENG,FW,Dortmund,23-300,2000,0.4,13,21,61.9,198,56,7,11,63.6,4,7,57.1,1,1,100.0,1,1.3,0.7,-0.3,2,0,1,1,0
Leroy Sané,de GER,FW,Bayern Munich,28-008,1996,15.4,556,697,79.8,8222,2008,335,385,87.0,157,187,84.0,41,69,59.4,10,9.1,7.6,+0.9,52,24,28,1,74
Amin Sarr,se SWE,"FW,MF",Wolfsburg,22-314,2001,1.1,10,23,43.5,114,43,5,12,41.7,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2
Bouna Sarr,sn SEN,DF,Bayern Munich,31-353,1992,1.2,92,104,88.5,1371,286,53,58,91.4,35,40,87.5,3,4,75.0,0,0.0,0.1,0.0,0,9,1,1,2
Joe Scally,us USA,DF,M'Gladbach,21-019,2002,13.9,632,784,80.6,9947,3828,325,362,89.8,248,298,83.2,40,79,50.6,1,0.4,0.6,+0.6,6,28,7,4,49
András Schäfer,hu HUN,MF,Union Berlin,24-281,1999,2.1,68,87,78.2,1005,220,44,51,86.3,21,25,84.0,3,6,50.0,0,0.1,0.1,-0.1,2,6,2,0,11
Patrik Schick,cz CZE,FW,Leverkusen,27-360,1996,2.3,37,48,77.1,444,58,25,33,75.8,10,10,100.0,0,1,0.0,0,0.2,0.5,-0.2,2,2,1,0,2
Stefan Schimmer,de GER,"MF,FW",Heidenheim,29-266,1994,0.8,10,24,41.7,97,43,6,10,60.0,2,7,28.6,0,0,,1,0.9,0.7,+0.1,1,1,0,0,1
Xaver Schlager,at AUT,MF,RB Leipzig,26-113,1997,14.7,836,956,87.4,13877,3946,416,451,92.2,347,376,92.3,60,86,69.8,1,1.5,1.9,-0.5,13,98,13,2,122
Keven Schlotterbeck,de GER,DF,Bochum,26-266,1997,10.0,307,411,74.7,5895,2478,104,133,78.2,172,208,82.7,29,57,50.9,0,0.3,0.6,-0.3,2,13,2,0,28
Nico Schlotterbeck,de GER,DF,Dortmund,24-049,1999,15.5,1063,1204,88.3,21380,7715,330,352,93.8,596,641,93.0,131,192,68.2,0,0.7,1.2,-0.7,7,90,8,0,84
Romano Schmid,at AUT,MF,Werder Bremen,23-357,2000,13.8,486,621,78.3,7833,2451,232,287,80.8,190,224,84.8,42,62,67.7,2,2.8,3.1,-0.8,20,52,24,6,75
Kenneth Schmidt,de GER,DF,Freiburg,21-230,2002,0.8,43,48,89.6,749,239,18,18,100.0,22,25,88.0,2,2,100.0,0,0.1,0.1,-0.1,2,2,1,1,4
Benno Schmitz,de GER,DF,Köln,29-063,1994,6.0,235,349,67.3,3810,2017,127,146,87.0,78,123,63.4,24,53,45.3,0,0.2,0.2,-0.2,2,21,5,2,38
Fabian Schnellhardt,de GER,MF,Darmstadt 98,30-007,1994,2.3,132,151,87.4,2314,452,50,56,89.3,71,76,93.4,8,10,80.0,0,0.0,0.1,0.0,1,8,1,0,14
Jan Schöppner,de GER,MF,Heidenheim,24-221,1999,7.0,127,203,62.6,2050,638,67,99,67.7,45,68,66.2,11,20,55.0,0,0.4,0.2,-0.4,4,7,2,0,19
Marcel Schuhen,de GER,GK,Darmstadt 98,31-006,1993,16.0,599,826,72.5,16617,11831,105,105,100.0,302,307,98.4,191,410,46.6,0,0.0,0.1,0.0,0,22,2,0,4
Marvin Schwäbe,de GER,GK,Köln,28-269,1995,17.0,565,692,81.6,14283,9366,98,98,100.0,320,326,98.2,146,262,55.7,0,0.0,0.0,0.0,1,8,0,0,0
Nicolas Seiwald,at AUT,MF,RB Leipzig,22-260,2001,1.6,44,56,78.6,768,271,22,25,88.0,18,23,78.3,4,6,66.7,0,0.0,0.0,0.0,0,5,1,0,3
Davie Selke,de GER,FW,Köln,28-364,1995,12.0,124,197,62.9,1525,243,78,109,71.6,33,56,58.9,3,4,75.0,0,0.3,0.2,-0.3,9,8,3,0,13
Benjamin Šeško,si SVN,FW,RB Leipzig,20-233,2003,4.6,75,110,68.2,862,132,55,70,78.6,12,18,66.7,3,7,42.9,0,0.3,0.2,-0.3,4,1,2,0,5
Kevin Sessa,de GER,"MF,FW",Heidenheim,23-197,2000,2.9,80,113,70.8,1279,384,38,48,79.2,31,40,77.5,7,13,53.8,0,0.2,0.3,-0.2,3,8,5,0,15
Aaron Seydel,de GER,FW,Darmstadt 98,27-346,1996,2.9,41,71,57.7,621,142,22,37,59.5,15,25,60.0,2,3,66.7,0,0.2,0.1,-0.2,3,6,1,0,7
Tim Siersleben,de GER,DF,Heidenheim,23-316,2000,9.0,414,508,81.5,9174,3976,110,126,87.3,226,248,91.1,78,129,60.5,0,0.5,0.4,-0.5,3,37,0,0,44
Kiliann Sildillia,fr FRA,DF,Freiburg,21-248,2002,12.5,515,720,71.5,9308,3305,236,279,84.6,205,285,71.9,65,119,54.6,1,0.8,1.2,+0.2,11,40,15,8,43
Mohamed Simakan,fr FRA,DF,RB Leipzig,23-261,2000,15.7,1004,1136,88.4,18244,6282,381,418,91.1,547,583,93.8,68,116,58.6,1,1.2,1.0,-0.2,7,94,1,0,78
Xavi Simons,nl NED,MF,RB Leipzig,20-273,2003,15.1,556,713,78.0,8605,2348,314,359,87.5,178,221,80.5,45,79,57.0,7,4.0,4.4,+3.0,38,49,31,1,85
Tim Skarke,de GER,"FW,MF",Darmstadt 98,27-134,1996,13.0,300,415,72.3,5214,1302,144,170,84.7,117,155,75.5,33,58,56.9,0,0.7,0.8,-0.7,10,15,12,6,33
