Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Pavel Kadeřábek,cz CZE,"DF,FW",Hoffenheim,31-269,1992,12.0,641,32,151,251,242,32,641,7,1,14.3,6,85.7,274,1102,530,18,8,3,4,4,358,81
Florian Kainz,at AUT,"MF,FW",Köln,31-087,1992,13.0,795,23,150,410,246,14,792,27,16,59.3,9,33.3,495,2442,943,29,23,5,13,14,511,40
Sasa Kalajdzic,at AUT,FW,Eint Frankfurt,26-196,1997,0.7,21,1,3,15,3,1,21,1,1,100.0,0,0.0,9,21,2,0,0,0,1,1,15,2
Jakub Kamiński,pl POL,"FW,MF",Wolfsburg,21-228,2002,2.6,108,2,20,37,51,10,108,6,1,16.7,5,83.3,61,376,176,7,2,5,1,6,78,26
Kevin Kampl,si SVN,MF,RB Leipzig,33-102,1990,10.5,795,19,136,542,127,2,795,11,9,81.8,2,18.2,517,2886,1442,20,23,0,9,8,579,16
Harry Kane,eng ENG,FW,Bayern Munich,30-175,1993,15.6,506,11,42,200,267,89,503,27,12,44.4,12,44.4,340,1642,699,18,11,8,22,26,389,75
Atakan Karazor,de GER,MF,Stuttgart,27-098,1996,16.1,1118,38,204,714,207,11,1118,16,3,18.8,10,62.5,580,2412,1129,14,27,0,9,8,763,20
Emir Karic,at AUT,DF,Darmstadt 98,26-224,1997,8.3,603,32,172,293,144,7,603,6,2,33.3,3,50.0,305,1703,1021,28,14,1,13,1,366,48
Silas Katompa,cd COD,"FW,MF",Stuttgart,25-105,1998,8.1,319,4,20,118,192,49,318,59,25,42.4,27,45.8,251,1955,863,37,22,15,33,17,251,101
Mikkel Kaufmann,dk DEN,"FW,DF",Union Berlin,23-016,2001,1.9,72,1,5,31,36,8,72,3,1,33.3,2,66.7,29,100,35,1,0,1,11,4,47,14
Naby Keïta,gn GUI,MF,Werder Bremen,28-343,1995,0.9,53,1,10,37,7,1,53,3,3,100.0,0,0.0,35,221,138,1,1,0,3,1,39,2
Yannik Keitel,de GER,MF,Freiburg,23-338,2000,1.4,64,6,19,35,10,2,64,4,2,50.0,2,50.0,26,146,52,0,0,0,2,1,30,4
Thomas Keller,de GER,"MF,FW",Heidenheim,24-167,1999,0.0,8,0,2,7,0,0,8,0,0,,0,,3,10,3,0,0,0,1,0,3,0
Aljoscha Kemlein,de GER,MF,Union Berlin,19-170,2004,0.3,13,0,5,6,2,0,13,1,1,100.0,0,0.0,7,41,31,0,0,0,1,0,6,1
Tobias Kempe,de GER,MF,Darmstadt 98,34-206,1989,9.1,427,9,57,202,174,21,424,11,4,36.4,7,63.6,192,1035,450,8,10,2,15,5,234,33
Rani Khedira,de GER,MF,Union Berlin,29-357,1994,4.0,183,9,48,114,21,3,183,3,1,33.3,2,66.7,62,341,95,3,2,0,6,2,87,7
Luca Kilian,de GER,DF,Köln,24-140,1999,3.1,197,18,93,85,20,3,197,1,0,0.0,1,100.0,113,631,263,4,2,0,3,0,123,1
Joshua Kimmich,de GER,MF,Bayern Munich,28-345,1995,10.5,1110,31,168,645,302,2,1110,3,0,0.0,2,66.7,688,3641,1529,14,30,0,9,9,839,18
Christoph Klarer,at AUT,DF,Darmstadt 98,23-219,2000,14.0,819,95,430,341,52,18,819,5,4,80.0,1,20.0,475,2032,1120,7,5,1,2,4,577,7
Tim Kleindienst,de GER,FW,Heidenheim,28-141,1995,16.5,686,32,58,333,304,74,684,31,8,25.8,21,67.7,333,1477,581,21,23,11,57,27,490,97
