Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Kristijan Jakić,hr CRO,"MF,FW",Eint Frankfurt,26-250,1997,2.2,2,0.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tony Jantschke,de GER,"DF,MF",M'Gladbach,33-287,1990,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fredrik Jensen,fi FIN,"FW,MF",Augsburg,26-132,1997,8.4,29,3.46,16,10,0,2,0,1,5,0.60,2,2,0,1,0,0
Moritz Jenz,de GER,DF,Wolfsburg,24-264,1999,9.5,8,0.85,8,0,0,0,0,0,1,0.11,1,0,0,0,0,0
Anthony Jung,de GER,"DF,FW",Werder Bremen,32-077,1991,14.4,18,1.25,17,0,0,0,1,0,1,0.07,1,0,0,0,0,0
Josip Juranović,hr CRO,DF,Union Berlin,28-156,1995,7.6,34,4.46,9,22,1,1,1,0,4,0.52,0,3,0,0,1,0
Julian Justvan,de GER,"FW,MF",Hoffenheim,25-292,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ozan Kabak,tr TUR,DF,Hoffenheim,23-300,2000,11.7,8,0.69,5,0,0,2,1,0,1,0.09,1,0,0,0,0,0
Pavel Kadeřábek,cz CZE,"DF,FW",Hoffenheim,31-269,1992,12.0,27,2.26,24,1,0,2,0,0,2,0.17,2,0,0,0,0,0
Florian Kainz,at AUT,"MF,FW",Köln,31-087,1992,13.0,52,4.01,33,14,3,1,1,0,3,0.23,2,0,1,0,0,0
Sasa Kalajdzic,at AUT,FW,Eint Frankfurt,26-196,1997,0.7,1,1.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jakub Kamiński,pl POL,"FW,MF",Wolfsburg,21-228,2002,2.6,4,1.54,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kevin Kampl,si SVN,MF,RB Leipzig,33-102,1990,10.5,25,2.38,23,0,1,0,0,1,3,0.29,3,0,0,0,0,0
Harry Kane,eng ENG,FW,Bayern Munich,30-175,1993,15.6,47,3.00,32,1,3,4,7,0,6,0.38,5,1,0,0,0,0
