Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michele Di Gregorio,it ITA,GK,Monza,25,1997,37,37,"3,330",37.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,28,1993,37,36,"3,257",36.2,3,4,7,3,0,0,2,0,2.7,2.7,4.7,7.4,73,256,182,0.08,0.11,0.19,0.08,0.19,0.07,0.13,0.20,0.07,0.20,Matches
Ángel Di María,ar ARG,"FW,MF",Juventus,34,1988,26,15,"1,363",15.1,4,4,8,3,1,1,1,1,3.1,2.3,4.5,6.7,56,96,95,0.26,0.26,0.53,0.20,0.46,0.20,0.29,0.50,0.15,0.44,Matches
Boulaye Dia,sn SEN,"FW,MF",Salernitana,25,1996,33,27,"2,518",28.0,16,6,22,15,1,1,4,0,8.8,8.0,3.1,11.1,48,50,140,0.57,0.21,0.79,0.54,0.75,0.31,0.11,0.43,0.29,0.40,Matches
Brahim Díaz,es ESP,"MF,FW",Milan,22,1999,33,27,"1,925",21.4,6,7,13,6,0,0,3,0,6.0,6.0,5.6,11.5,80,121,116,0.28,0.33,0.61,0.28,0.61,0.28,0.26,0.54,0.28,0.54,Matches
Federico Dimarco,it ITA,DF,Inter,24,1997,33,26,"2,069",23.0,4,3,7,4,0,0,0,0,3.1,3.1,6.9,9.9,45,88,189,0.17,0.13,0.30,0.17,0.30,0.13,0.30,0.43,0.13,0.43,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koffi Djidji,ci CIV,DF,Torino,29,1992,34,26,"2,424",26.9,1,0,1,1,0,0,3,0,0.9,0.9,0.1,1.1,11,83,13,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04,Matches
Berat Djimsiti,al ALB,DF,Atalanta,29,1993,24,20,"1,797",20.0,0,1,1,0,0,0,3,0,0.6,0.6,0.2,0.8,7,45,9,0.00,0.05,0.05,0.00,0.05,0.03,0.01,0.04,0.03,0.04,Matches
Dodô,br BRA,DF,Fiorentina,23,1998,33,28,"2,331",25.9,1,3,4,1,0,0,5,1,0.7,0.7,2.2,2.9,72,141,104,0.04,0.12,0.15,0.04,0.15,0.03,0.09,0.11,0.03,0.11,Matches
Josh Doig,sct SCO,DF,Hellas Verona,20,2002,22,15,"1,354",15.0,2,3,5,2,0,0,1,0,1.8,1.8,1.2,3.0,41,27,61,0.13,0.20,0.33,0.13,0.33,0.12,0.08,0.20,0.12,0.20,Matches
Nicolás Domínguez,ar ARG,MF,Bologna,24,1998,31,26,"2,300",25.6,3,2,5,3,0,0,10,0,2.6,2.6,2.9,5.4,39,147,84,0.12,0.08,0.20,0.12,0.20,0.10,0.11,0.21,0.10,0.21,Matches
Giulio Donati,it ITA,DF,Monza,32,1990,8,4,422,4.7,1,0,1,1,0,0,4,2,0.4,0.4,0.1,0.5,4,21,8,0.21,0.00,0.21,0.21,0.21,0.08,0.02,0.11,0.08,0.11,Matches
Bartłomiej Drągowski,pl POL,GK,Spezia,24,1997,34,34,"2,946",32.7,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Ondrej Duda,sk SVK,MF,Hellas Verona,27,1994,15,11,"1,061",11.8,0,0,0,0,0,0,4,0,0.8,0.8,0.3,1.1,15,44,22,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Matches
Denzel Dumfries,nl NED,DF,Inter,26,1996,34,25,"2,218",24.6,1,4,5,1,0,0,4,0,3.6,3.6,4.9,8.5,62,59,172,0.04,0.16,0.20,0.04,0.20,0.15,0.20,0.35,0.15,0.35,Matches
