Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Lukas Ullrich,de GER,DF,M'Gladbach,19-309,2004,2,21,11,1.4,0.2,0,,0,2,11,1,0.00,0,1,-1,-4.29,-4.23,0.1,0.4,-0.3,-1.28,-1.06
Sven Ulreich,de GER,GK,Bayern Munich,35-169,1988,8,720,90,50.0,8.0,8,90,8,0,,6,2.50,26,7,+19,+2.37,+0.12,21.4,5.7,+15.8,+1.97,-0.34
Deniz Undav,de GER,FW,Stuttgart,27-184,1996,14,870,62,56.9,9.7,9,81,3,5,28,0,2.00,20,14,+6,+0.62,-0.74,25.4,12.6,+12.9,+1.33,+0.39
Dayot Upamecano,fr FRA,DF,Bayern Munich,25-084,1998,14,"1,140",81,79.2,12.7,13,84,10,1,45,0,2.50,32,12,+20,+1.58,-3.52,33.5,8.8,+24.7,+1.95,-0.92
Mark Uth,de GER,"MF,FW",Köln,32-148,1991,7,258,37,16.9,2.9,3,65,0,4,16,2,0.86,2,7,-5,-1.74,-0.82,4.0,8.6,-4.7,-1.63,-0.79
Josha Vagnoman,de GER,"DF,FW",Stuttgart,23-039,2000,7,350,50,22.9,3.9,3,85,1,4,24,0,1.86,4,7,-3,-0.77,-2.22,7.6,6.5,+1.1,+0.27,-1.15
Ruben Vargas,ch SUI,"MF,FW",Augsburg,25-167,1998,15,794,53,51.9,8.8,9,71,1,6,26,0,1.00,11,20,-9,-1.02,-1.14,10.7,14.6,-3.9,-0.45,-0.27
Miloš Veljković,rs SRB,DF,Werder Bremen,28-115,1995,13,"1,097",84,71.7,12.2,12,88,11,1,45,1,0.92,18,25,-7,-0.57,-0.57,14.6,21.7,-7.1,-0.58,-0.55
Oscar Vilhelmsson,se SWE,"FW,MF",Darmstadt 98,20-109,2003,10,490,49,32.0,5.4,5,71,1,5,27,2,0.20,4,10,-6,-1.10,+0.46,6.0,8.8,-2.8,-0.52,+0.84
Kevin Vogt,de GER,DF,Hoffenheim,32-118,1991,16,"1,319",82,86.2,14.7,14,88,13,2,42,0,1.50,32,27,+5,+0.34,+2.90,25.9,24.8,+1.1,+0.07,+1.52
Kevin Vogt,de GER,DF,Union Berlin,32-118,1991,1,90,90,6.3,1.0,1,90,1,0,,0,1.00,0,0,0,0.00,+0.93,0.5,1.8,-1.3,-1.31,-1.01
Kevin Volland,de GER,"MF,FW",Union Berlin,31-173,1992,11,584,53,40.6,6.5,7,75,2,4,15,1,1.27,7,6,+1,+0.15,+1.73,7.9,8.9,-1.0,-0.15,+0.36
Aster Vranckx,be BEL,MF,Wolfsburg,21-107,2002,13,706,54,46.1,7.8,7,87,6,6,16,2,1.31,9,16,-7,-0.89,-0.89,7.0,13.6,-6.6,-0.84,-0.95
Simon Walde,de GER,DF,M'Gladbach,19-015,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,
Luca Waldschmidt,de GER,"MF,FW",Köln,27-245,1996,15,848,57,55.4,9.4,10,72,2,5,26,0,0.67,9,13,-4,-0.42,+1.42,12.5,19.5,-7.0,-0.74,+0.52
Wout Weghorst,nl NED,FW,Hoffenheim,31-165,1992,13,"1,050",81,68.6,11.7,13,81,8,0,,0,1.77,25,19,+6,+0.51,+1.83,19.1,19.2,-0.1,-0.01,+0.40
