Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Olivier Deman,be BEL,DF,Werder Bremen,23-288,2000,9.3,459,383,74,4,0,5,22,68,2,1,0,0,350,2,18
Ermedin Demirović,ba BIH,"MF,FW",Augsburg,25-300,1998,16.2,310,295,11,3,2,1,7,3,0,0,0,0,188,4,21
Sepp van den Berg,nl NED,DF,Mainz 05,22-030,2001,14.5,816,790,22,19,0,2,2,1,0,0,0,0,660,4,6
Justin Diehl,de GER,FW,Köln,19-053,2004,0.3,14,9,5,1,0,0,6,0,4,2,2,0,8,0,0
Florian Dietz,de GER,FW,Köln,25-169,1998,0.5,13,12,1,0,0,0,0,0,0,0,0,0,9,0,1
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,23-059,2000,11.4,492,440,50,2,4,4,12,48,0,0,0,0,377,2,18
Eren Dinkçi,de GER,"MF,FW",Heidenheim,22-037,2001,14.3,380,367,11,3,2,3,41,4,3,0,3,0,234,2,28
Ritsu Doan,jp JPN,"MF,FW",Freiburg,25-217,1998,11.8,323,295,25,6,1,1,34,4,15,10,5,0,224,3,14
Danilho Doekhi,nl NED,DF,Union Berlin,25-203,1998,8.0,350,345,4,4,0,3,3,0,0,0,0,0,292,1,3
Niklas Dorsch,de GER,MF,Augsburg,26-004,1998,12.7,514,487,24,22,2,4,2,0,0,0,0,0,446,3,3
Nikola Dovedan,at AUT,"MF,FW",Heidenheim,29-197,1994,2.7,70,61,9,1,2,1,3,2,3,0,0,0,42,0,7
Damion Downs,de GER,"FW,MF",Köln,19-197,2004,0.3,10,10,0,0,0,0,0,0,0,0,0,0,7,0,1
Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,21-324,2002,4.5,111,102,8,0,2,0,3,1,0,0,0,0,80,1,1
Marvin Ducksch,de GER,FW,Werder Bremen,29-318,1994,15.1,490,389,97,28,7,3,78,5,47,16,25,0,281,4,8
Maximilian Eggestein,de GER,MF,Freiburg,27-042,1996,16.5,700,683,15,13,3,2,3,1,0,0,0,0,565,2,34
Lilian Egloff,de GER,"MF,DF",Stuttgart,21-152,2002,1.2,41,40,1,0,0,0,0,0,0,0,0,0,32,0,1
Elif Elmas,mk MKD,DF,RB Leipzig,24-117,1999,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Nico Elvedi,ch SUI,DF,M'Gladbach,27-111,1996,12.9,807,766,40,16,2,0,2,16,0,0,0,0,707,1,7
Arne Engels,be BEL,"MF,DF",Augsburg,20-133,2003,7.7,290,227,61,12,2,2,44,27,22,14,6,0,188,2,14
Ohis Felix Uduokhai,de GER,DF,Augsburg,26-132,1997,15.5,801,752,47,18,0,7,2,3,0,0,0,0,657,2,5
Edimilson Fernandes,ch SUI,DF,Mainz 05,27-279,1996,10.7,643,559,79,37,2,9,51,15,27,14,9,1,497,5,7
Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,19-106,2004,0.6,15,14,0,0,0,0,0,0,0,0,0,0,8,1,0
Max Finkgräfe,de GER,"DF,MF",Köln,19-298,2004,4.1,179,154,25,3,1,0,13,22,0,0,0,0,129,0,10
Jonas Föhrenbach,de GER,DF,Heidenheim,27-358,1996,15.1,703,552,149,7,0,10,34,142,0,0,0,0,503,2,20
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,32-088,1991,5.2,199,190,7,1,0,3,8,0,5,3,2,0,163,2,6
Philipp Förster,de GER,"MF,FW",Bochum,28-349,1995,2.5,115,100,15,5,0,0,18,0,10,4,5,0,87,0,2
Bartol Franjić,hr CRO,MF,Darmstadt 98,24-005,2000,7.0,308,299,9,9,0,1,3,0,0,0,0,0,267,0,4
Marco Friedl,at AUT,DF,Werder Bremen,25-309,1998,12.4,598,570,24,19,0,2,2,4,0,0,0,0,510,4,5
Marvin Friedrich,de GER,DF,M'Gladbach,28-037,1995,6.4,357,342,13,11,0,3,1,2,0,0,0,0,291,2,1
Jeremie Frimpong,nl NED,DF,Leverkusen,23-040,2000,15.6,665,590,73,2,4,3,60,71,0,0,0,0,506,2,32
Chris Führich,de GER,"FW,MF",Stuttgart,26-010,1998,14.9,728,655,69,19,2,7,45,20,30,16,2,0,593,4,18
Niclas Füllkrug,de GER,FW,Werder Bremen,30-344,1993,2.0,66,65,1,0,0,0,0,0,0,0,0,0,48,0,2
Niclas Füllkrug,de GER,FW,Dortmund,30-344,1993,12.1,285,277,7,0,3,1,3,0,0,0,0,0,178,1,11
Cristian Gamboa,cr CRC,DF,Bochum,34-087,1989,11.3,404,324,79,3,0,3,22,76,0,0,0,0,295,1,6
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,29-312,1994,7.7,254,245,9,3,1,1,9,2,0,0,0,0,191,0,11
Anwar El Ghazi,nl NED,"MF,DF",Mainz 05,28-261,1995,0.6,22,22,0,0,0,0,1,0,0,0,0,0,15,0,1
Benedikt Gimber,de GER,DF,Heidenheim,26-334,1997,7.7,277,264,12,10,1,2,3,1,0,0,0,0,223,1,5
Matthias Ginter,de GER,DF,Freiburg,30-000,1994,15.3,986,925,60,32,2,1,16,27,0,0,0,0,822,1,7
Klaus Gjasula,al ALB,"DF,MF",Darmstadt 98,34-036,1989,7.0,400,393,7,7,1,3,4,0,0,0,0,0,329,0,1
Serge Gnabry,de GER,"FW,MF",Bayern Munich,28-189,1995,2.5,97,91,6,0,1,1,4,4,1,1,0,0,84,0,3
