Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Joel Robles,es ESP,GK,Leeds United,eng Premier League,32,1990,4.0,122,70,52,20,0,0,0,0,0,0,0,0,63,0,0
Marc Roca,es ESP,MF,Leeds United,eng Premier League,25,1996,25.7,1295,1188,102,55,7,10,76,3,40,20,16,0,978,5,17
Enzo Roco,cl CHI,DF,Elche,es La Liga,29,1992,18.4,719,676,38,33,1,5,1,4,0,0,0,0,587,5,7
Marek Rodák,sk SVK,GK,Fulham,eng Premier League,25,1996,2.0,61,38,23,8,0,0,0,0,0,0,0,0,29,0,0
Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,31,1990,15.7,857,828,24,17,4,1,8,2,0,0,0,0,711,5,14
Joe Rodon,wls WAL,DF,Rennes,fr Ligue 1,24,1997,15.7,1051,1040,10,10,0,3,1,0,0,0,0,0,945,1,3
Rodri,es ESP,MF,Manchester City,eng Premier League,26,1996,32.3,2987,2943,43,37,2,26,6,3,0,0,0,0,2723,1,21
Rodri,es ESP,"FW,MF",Betis,es La Liga,22,2000,17.8,858,832,19,9,6,5,47,8,2,1,0,0,732,7,22
Rodrigo,es ESP,"FW,MF",Leeds United,eng Premier League,31,1991,21.5,550,492,53,0,4,10,21,7,2,0,0,0,389,5,9
Ángel Rodríguez,es ESP,"FW,MF",Mallorca,es La Liga,35,1987,4.4,82,78,4,1,0,1,2,1,0,0,0,0,59,0,1
Óscar Rodríguez Arnaiz,es ESP,MF,Celta Vigo,es La Liga,24,1998,19.7,1057,950,103,54,5,16,83,1,47,11,33,0,833,4,12
Dani Rodríguez,es ESP,MF,Mallorca,es La Liga,34,1988,23.3,685,647,32,9,5,14,32,1,7,2,2,0,537,6,31
Guido Rodríguez,ar ARG,MF,Betis,es La Liga,28,1994,31.9,1688,1596,86,84,3,20,9,2,0,0,0,0,1464,6,14
Miguel Rodríguez,es ESP,"MF,FW",Celta Vigo,es La Liga,19,2003,2.8,91,90,1,1,0,0,13,0,0,0,0,0,60,0,5
Pablo Rodríguez,es ESP,"FW,MF",Lecce,it Serie A,20,2001,0.6,21,18,3,0,0,0,4,1,2,0,1,0,14,0,2
Ricardo Rodríguez,ch SUI,DF,Torino,it Serie A,29,1992,29.7,1757,1602,145,40,0,18,71,87,13,10,3,0,1439,10,31
Rodrygo,br BRA,"FW,MF",Real Madrid,es La Liga,21,2001,26.4,1050,991,51,6,2,6,22,9,18,3,2,0,918,8,24
Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,23,1999,12.3,303,282,21,1,2,0,20,20,0,0,0,0,194,0,21
Agustín Rogel,uy URU,DF,Hertha BSC,de Bundesliga,24,1997,15.8,572,538,31,29,0,6,0,2,0,0,0,0,426,3,7
Rogério,br BRA,DF,Sassuolo,it Serie A,24,1998,33.3,2038,1647,385,53,1,22,113,332,0,0,0,0,1644,6,52
Merlin Röhl,de GER,"MF,FW",Freiburg,de Bundesliga,20,2002,0.6,18,18,0,0,0,0,0,0,0,0,0,0,13,0,2
Tony Rölke,de GER,FW,Hertha BSC,de Bundesliga,19,2003,0.2,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0
Filippo Romagna,it ITA,DF,Sassuolo,it Serie A,25,1997,0.5,36,34,2,2,0,0,0,0,0,0,0,0,34,0,0
Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,27,1995,32.5,1849,1688,161,91,1,13,0,2,0,0,0,0,1673,0,6
Simone Romagnoli,it ITA,DF,Lecce,it Serie A,32,1990,1.9,74,71,3,3,0,0,0,0,0,0,0,0,61,0,0
Leonardo Román,es ESP,GK,Mallorca,es La Liga,22,2000,1.0,42,27,15,3,0,0,0,0,0,0,0,0,29,0,0
Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,24,1998,26.3,1606,1523,80,60,4,20,0,19,0,0,0,0,1407,3,24
Iván Romero,es ESP,MF,Sevilla,es La Liga,21,2001,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Luka Romero,ar ARG,FW,Lazio,it Serie A,17,2004,1.7,80,78,2,0,0,0,0,2,0,0,0,0,70,0,1
Oriol Romeu,es ESP,MF,Southampton,eng Premier League,30,1991,0.8,30,30,0,0,0,0,1,0,0,0,0,0,28,0,0
Oriol Romeu,es ESP,MF,Girona,es La Liga,30,1991,32.8,1626,1576,43,41,3,12,13,2,0,0,0,0,1405,7,19
Cristiano Ronaldo,pt POR,FW,Manchester Utd,eng Premier League,37,1985,5.8,162,157,5,0,2,1,3,1,0,0,0,0,121,0,10
