Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,DrblTkl,DrblCh,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,21,2001,29.3,69,39,23,35,11,32,69,46.4,37,48,8,40,23,92,34,0
Marcus Rashford,eng ENG,FW,Manchester Utd,24,1997,32.0,20,10,7,8,5,9,24,37.5,15,31,4,27,7,27,14,0
David Raya,es ESP,GK,Brentford,26,1995,38.0,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,10,2
Tim Ream,us USA,DF,Fulham,34,1987,32.2,30,16,15,12,3,13,26,50.0,13,45,24,21,41,71,116,2
Nathan Redmond,eng ENG,DF,Southampton,28,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Harrison Reed,eng ENG,MF,Fulham,27,1995,31.8,44,27,17,21,6,16,50,32.0,34,54,12,42,19,63,36,0
Bobby Reid,jm JAM,"FW,DF",Fulham,29,1993,27.5,42,24,14,14,14,16,34,47.1,18,25,3,22,20,62,28,1
Declan Rice,eng ENG,MF,West Ham,23,1999,36.4,79,38,44,31,4,31,50,62.0,19,45,15,30,63,142,58,0
Chris Richards,us USA,DF,Crystal Palace,22,2000,5.0,9,6,8,1,0,5,7,71.4,2,10,1,9,8,17,31,0
Richarlison,br BRA,"MF,FW",Tottenham,25,1997,11.2,21,16,13,5,3,12,27,44.4,15,14,1,13,5,26,10,0
Jaïro Riedewald,nl NED,"DF,MF",Crystal Palace,25,1996,0.7,2,1,2,0,0,0,1,0.0,1,2,0,2,0,2,4,0
Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,32,1989,0.4,1,1,0,1,0,1,3,33.3,2,0,0,0,1,2,0,0
Andrew Robertson,sct SCO,DF,Liverpool,28,1994,28.7,38,21,12,16,10,21,41,51.2,20,32,5,27,18,56,50,3
Antonee Robinson,us USA,DF,Fulham,24,1997,34.3,62,38,43,15,4,44,65,67.7,21,49,13,36,53,115,83,3
Joel Robles,es ESP,GK,Leeds United,32,1990,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,1
Marc Roca,es ESP,MF,Leeds United,25,1996,25.7,66,40,27,34,5,20,65,30.8,45,34,10,24,23,89,24,2
Marek Rodák,sk SVK,GK,Fulham,25,1996,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Rodri,es ESP,MF,Manchester City,26,1996,32.3,67,41,28,28,11,26,52,50.0,26,40,14,26,33,100,43,1
Rodrigo,es ESP,"FW,MF",Leeds United,31,1991,21.5,24,10,2,15,7,8,19,42.1,11,16,4,12,6,30,21,1
Mads Roerslev,dk DEN,DF,Brentford,23,1999,12.3,22,12,19,3,0,16,33,48.5,17,14,5,9,9,31,38,0
Cristian Romero,ar ARG,DF,Tottenham,24,1998,26.3,68,36,42,24,2,29,46,63.0,17,40,18,22,44,112,102,3
Oriol Romeu,es ESP,MF,Southampton,30,1991,0.8,1,0,0,1,0,0,0,,0,1,0,1,1,2,1,0
