Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,npGls,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Glsp90,Astp90,G+Ap90,npGlsp90,npGlsAstp90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90
Ricardo Pereira,pt POR,"DF,MF",Leicester City,28.0,1993.0,10.0,5.0,454,5.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.6,0.7,5.0,27.0,14.0,0.2,0.2,0.4,0.2,0.4,0.02,0.12,0.14,0.02,0.14
Ivan Perišić,hr CRO,"DF,MF",Tottenham,33.0,1989.0,34.0,23.0,"2,108",23.4,1.0,8.0,9.0,1.0,0.0,0.0,6.0,0.0,2.6,2.6,6.1,8.8,87.0,61.0,181.0,0.04,0.34,0.38,0.04,0.38,0.11,0.26,0.37,0.11,0.37
Dennis Praet,be BEL,"MF,FW",Leicester City,28.0,1994.0,22.0,6.0,649,7.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.5,15.0,17.0,42.0,0.14,0.0,0.14,0.14,0.14,0.14,0.06,0.21,0.14,0.21
Christian Pulisic,us USA,"FW,DF",Chelsea,23.0,1998.0,24.0,8.0,821,9.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.7,2.4,35.0,23.0,76.0,0.11,0.11,0.22,0.11,0.22,0.19,0.07,0.26,0.19,0.26
Tim Ream,us USA,DF,Fulham,34.0,1987.0,33.0,33.0,"2,897",32.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,28.0,142.0,2.0,0.03,0.0,0.03,0.03,0.03,0.01,0.0,0.01,0.01,0.01
Richarlison,br BRA,"MF,FW",Tottenham,25.0,1997.0,27.0,12.0,"1,010",11.2,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,3.3,3.3,2.2,5.5,33.0,28.0,75.0,0.09,0.27,0.36,0.09,0.36,0.29,0.2,0.49,0.29,0.49
Marc Roca,es ESP,MF,Leeds United,25.0,1996.0,32.0,29.0,"2,315",25.7,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,2.1,2.1,2.9,5.0,25.0,172.0,28.0,0.04,0.08,0.12,0.04,0.12,0.08,0.11,0.19,0.08,0.19
Cristiano Ronaldo,pt POR,FW,Manchester Utd,37.0,1985.0,10.0,4.0,525,5.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.9,1.9,0.4,2.3,9.0,12.0,33.0,0.17,0.0,0.17,0.17,0.17,0.32,0.07,0.4,0.32,0.4
Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25.0,1997.0,25.0,12.0,"1,120",12.4,1.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,4.6,6.2,93.0,69.0,111.0,0.08,0.4,0.48,0.08,0.48,0.13,0.37,0.5,0.13,0.5
Pablo Sarabia,es ESP,"FW,MF",Wolves,30.0,1992.0,13.0,9.0,765,8.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3.1,3.1,0.8,3.9,17.0,41.0,54.0,0.12,0.0,0.12,0.12,0.12,0.36,0.09,0.46,0.36,0.46
