Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Édgar Badía,es ESP,GK,Elche,es La Liga,30,1992,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,21,2001,10.1,1,6,2,33.3,0.60,0.20,0.17,0.50,7.2,0,0,0,1.2,1.2,0.20,-0.2,-0.2
Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,21,2001,9.3,2,5,3,60.0,0.54,0.32,0.40,0.67,16.0,0,0,0,0.6,0.6,0.13,+1.4,+1.4
Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,21,2001,21.6,6,62,22,35.5,2.87,1.02,0.10,0.27,22.6,3,0,0,3.9,3.9,0.06,+2.1,+2.1
Jaime Báez,uy URU,DF,Cremonese,it Serie A,27,1995,1.1,0,2,0,0.0,1.87,0.00,0.00,,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,24,1997,21.9,4,51,14,27.5,2.33,0.64,0.08,0.29,18.1,3,0,0,5.3,5.3,0.10,-1.3,-1.3
Eric Bailly,ci CIV,DF,Marseille,fr Ligue 1,28,1994,6.0,0,3,0,0.0,0.50,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Dénys Bain,fr FRA,DF,Auxerre,fr Ligue 1,29,1993,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Brandon Baiye,be BEL,MF,Clermont Foot,fr Ligue 1,21,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,17,2004,5.8,1,6,3,50.0,1.03,0.51,0.17,0.33,24.5,0,0,0,0.8,0.8,0.13,+0.2,+0.2
Nedim Bajrami,al ALB,"MF,FW",Empoli,it Serie A,23,1999,10.4,1,21,7,33.3,2.01,0.67,0.05,0.14,24.1,6,0,0,1.2,1.2,0.06,-0.2,-0.2
Nedim Bajrami,al ALB,"FW,MF",Sassuolo,it Serie A,23,1999,9.1,1,23,8,34.8,2.53,0.88,0.04,0.13,20.7,4,0,0,1.9,1.9,0.08,-0.9,-0.9
Cédric Bakambu,cd COD,MF,Marseille,fr Ligue 1,31,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,27,1994,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mitchel Bakker,nl NED,"DF,MF",Leverkusen,de Bundesliga,22,2000,18.4,3,17,8,47.1,0.92,0.43,0.18,0.38,18.9,0,0,0,1.7,1.7,0.10,+1.3,+1.3
Ridle Baku,de GER,"DF,FW",Wolfsburg,de Bundesliga,24,1998,28.7,5,28,12,42.9,0.98,0.42,0.18,0.42,19.1,0,0,0,2.9,2.9,0.10,+2.1,+2.1
Tommaso Baldanzi,it ITA,MF,Empoli,it Serie A,19,2003,19.7,4,33,12,36.4,1.68,0.61,0.12,0.33,20.1,0,0,0,2.4,2.4,0.07,+1.6,+1.6
Alejandro Balde,es ESP,DF,Barcelona,es La Liga,18,2003,27.5,1,19,4,21.1,0.69,0.15,0.05,0.25,17.9,0,0,0,1.9,1.9,0.10,-0.9,-0.9
Thierno Balde,fr FRA,"DF,MF",Troyes,fr Ligue 1,20,2002,23.9,0,7,1,14.3,0.29,0.04,0.00,0.00,17.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,18,2004,5.3,0,12,2,16.7,2.26,0.38,0.00,0.00,24.3,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,34,1988,1.3,0,1,0,0.0,0.78,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.03,0.0,0.0
Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,23,1999,29.3,0,11,0,0.0,0.38,0.00,0.00,,10.2,0,0,0,1.3,1.3,0.12,-1.3,-1.3
Dominic Ballard,eng ENG,"FW,MF",Southampton,eng Premier League,17,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,30,1992,35.9,0,6,1,16.7,0.17,0.03,0.00,0.00,17.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,25,1997,5.8,1,5,3,60.0,0.86,0.52,0.20,0.33,11.4,0,0,0,0.6,0.6,0.12,+0.4,+0.4
Folarin Balogun,us USA,FW,Reims,fr Ligue 1,21,2001,33.3,21,121,50,41.3,3.63,1.50,0.12,0.30,15.2,2,6,7,26.6,21.0,0.18,-5.6,-6.0
Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,32,1990,15.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jonathan Bamba,ci CIV,FW,Lille,fr Ligue 1,26,1996,30.9,6,71,28,39.4,2.30,0.91,0.08,0.21,15.5,0,0,0,8.2,8.2,0.12,-2.2,-2.2
Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,28,1993,16.8,4,48,16,33.3,2.85,0.95,0.08,0.25,14.7,1,0,2,8.6,7.0,0.15,-4.6,-3.0
Lameck Banda,zm ZAM,"FW,MF",Lecce,it Serie A,21,2001,18.2,2,36,12,33.3,1.98,0.66,0.06,0.17,19.0,0,0,0,3.1,3.1,0.09,-1.1,-1.1
Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,27,1995,25.1,2,24,7,29.2,0.95,0.28,0.08,0.29,23.4,0,0,0,1.7,1.7,0.07,+0.3,+0.3
Léo Baptistão,br BRA,"FW,MF",Almería,es La Liga,29,1992,19.2,5,45,16,35.6,2.35,0.83,0.11,0.31,14.9,0,0,0,4.9,4.9,0.11,+0.1,+0.1
Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,24,1998,6.9,0,4,1,25.0,0.58,0.15,0.00,0.00,15.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Antonín Barák,cz CZE,MF,Hellas Verona,it Serie A,27,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,27,1994,20.0,2,32,7,21.9,1.60,0.35,0.06,0.29,17.7,0,0,0,2.6,2.6,0.08,-0.6,-0.6
Andrea Barberis,it ITA,MF,Monza,it Serie A,28,1993,3.8,0,2,0,0.0,0.53,0.00,0.00,,26.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Tommaso Barbieri,it ITA,DF,Juventus,it Serie A,19,2002,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bradley Barcola,fr FRA,"FW,MF",Lyon,fr Ligue 1,19,2002,16.0,5,27,13,48.1,1.69,0.81,0.19,0.38,13.6,0,0,0,3.5,3.5,0.13,+1.5,+1.5
Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,21,2000,27.3,0,7,2,28.6,0.26,0.07,0.00,0.00,15.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Francesco Bardi,it ITA,GK,Bologna,it Serie A,30,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Keidi Bare,al ALB,MF,Espanyol,es La Liga,24,1997,5.6,0,5,3,60.0,0.89,0.54,0.00,0.00,17.9,0,0,0,0.6,0.6,0.12,-0.6,-0.6
Nicolò Barella,it ITA,MF,Inter,it Serie A,25,1997,29.0,6,33,13,39.4,1.14,0.45,0.18,0.46,20.6,1,0,0,3.2,3.2,0.10,+2.8,+2.8
Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,25,1997,14.6,1,17,6,35.3,1.17,0.41,0.06,0.17,15.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2
Ross Barkley,eng ENG,"MF,FW",Nice,fr Ligue 1,28,1993,10.7,4,38,17,44.7,3.56,1.59,0.11,0.24,19.7,3,0,0,4.3,4.3,0.11,-0.3,-0.3
Aymen Barkok,ma MAR,MF,Mainz 05,de Bundesliga,24,1998,6.5,0,11,2,18.2,1.70,0.31,0.00,0.00,23.3,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Harvey Barnes,eng ENG,"FW,MF",Leicester City,eng Premier League,24,1997,30.1,13,72,34,47.2,2.39,1.13,0.18,0.38,15.9,0,0,0,8.9,8.9,0.12,+4.1,+4.1
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,22,2000,23.8,4,32,14,43.8,1.35,0.59,0.13,0.29,16.0,0,0,0,3.9,3.9,0.12,+0.1,+0.1
Enzo Barrenechea,ar ARG,MF,Juventus,it Serie A,21,2001,1.8,0,2,0,0.0,1.14,0.00,0.00,,11.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ander Barrenetxea,es ESP,"FW,DF",Real Sociedad,es La Liga,20,2001,9.8,3,18,12,66.7,1.85,1.23,0.17,0.25,14.9,2,0,0,3.0,3.0,0.17,0.0,0.0
Mickaël Barreto,fr FRA,MF,Ajaccio,fr Ligue 1,31,1991,14.7,1,19,4,21.1,1.29,0.27,0.05,0.25,26.6,3,0,0,0.9,0.9,0.05,+0.1,+0.1
Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,19,2003,8.0,0,12,3,25.0,1.49,0.37,0.00,0.00,21.7,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Musa Barrow,gm GAM,"FW,MF",Bologna,it Serie A,23,1998,21.8,3,65,16,24.6,2.98,0.73,0.05,0.19,23.2,1,0,0,3.0,3.0,0.05,0.0,0.0
Federico Baschirotto,it ITA,DF,Lecce,it Serie A,25,1996,37.0,3,21,6,28.6,0.57,0.16,0.14,0.50,11.8,0,0,0,1.9,1.9,0.09,+1.1,+1.1
Toma Bašić,hr CRO,MF,Lazio,it Serie A,25,1996,5.7,1,11,5,45.5,1.93,0.88,0.09,0.20,19.6,0,0,0,1.8,1.8,0.17,-0.8,-0.8
Alberto Basso,it ITA,MF,Cremonese,it Serie A,18,2004,0.2,0,1,1,100.0,5.63,5.63,0.00,0.00,13.7,0,0,0,0.0,0.0,0.04,0.0,0.0
Gil Bastião Dias,pt POR,FW,Stuttgart,de Bundesliga,25,1996,4.4,1,10,4,40.0,2.26,0.90,0.10,0.25,20.2,0,0,0,0.5,0.5,0.05,+0.5,+0.5
