Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,21,2001,29.5,36,1.22,28,2,1,3,1,1,0,0.00,0,0,0,0,0,0
Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,18,2003,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdou Diallo,sn SEN,"DF,MF",RB Leipzig,de Bundesliga,26,1996,5.3,5,0.94,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Baila Diallo,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,21,2001,1.0,2,2.02,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27,1995,32.0,63,1.97,39,0,7,10,7,0,6,0.19,3,0,1,2,0,0
Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,23,1999,9.1,10,1.10,8,0,1,0,0,1,0,0.00,0,0,0,0,0,0
Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,25,1997,24.2,17,0.70,11,4,0,1,1,0,0,0.00,0,0,0,0,0,0
Mamady Diarra,ml MLI,"MF,DF",Cádiz,es La Liga,22,2000,0.7,1,1.36,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Mouhamadou Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,18,2004,18.1,59,3.27,42,0,7,4,6,0,7,0.39,4,0,1,0,2,0
Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,21,2000,13.6,16,1.17,15,0,0,0,1,0,3,0.22,3,0,0,0,0,0
Stéphane Diarra,fr FRA,"FW,MF",Lorient,fr Ligue 1,23,1998,11.8,35,2.95,20,2,5,2,5,1,5,0.42,1,0,2,0,1,1
Youba Diarra,ml MLI,MF,Cádiz,es La Liga,24,1998,1.1,3,2.76,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25,1997,22.2,15,0.68,11,1,0,3,0,0,1,0.05,1,0,0,0,0,0
Krépin Diatta,sn SEN,"MF,FW",Monaco,fr Ligue 1,23,1999,23.0,68,2.95,44,1,8,7,5,3,7,0.30,2,0,0,1,3,1
Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29,1993,37.0,7,0.19,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Brahim Díaz,es ESP,"MF,FW",Milan,it Serie A,22,1999,21.4,96,4.49,69,1,12,6,7,1,18,0.84,8,0,6,2,1,1
Luis Díaz,co COL,FW,Liverpool,eng Premier League,25,1997,11.1,41,3.70,29,0,7,3,2,0,6,0.54,3,0,2,1,0,0
Justin Diehl,de GER,"MF,FW",Köln,de Bundesliga,17,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bamba Dieng,sn SEN,"FW,MF",Marseille,fr Ligue 1,22,2000,2.2,6,2.78,2,0,0,0,3,1,1,0.46,0,0,0,0,1,0
Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,22,2000,8.3,12,1.45,8,0,0,3,0,1,2,0.24,0,0,0,2,0,0
Eric Dier,eng ENG,DF,Tottenham,eng Premier League,28,1994,31.3,29,0.93,24,1,0,4,0,0,2,0.06,1,0,0,1,0,0
Florian Dietz,de GER,FW,Köln,de Bundesliga,23,1998,4.4,6,1.37,3,1,1,1,0,0,0,0.00,0,0,0,0,0,0
Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,29,1993,16.7,29,1.74,24,4,0,0,1,0,0,0.00,0,0,0,0,0,0
Federico Dimarco,it ITA,DF,Inter,it Serie A,24,1997,23.0,103,4.48,64,29,1,5,3,1,8,0.35,6,0,1,1,0,0
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,28,1993,36.9,4,0.11,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Junior Dina Ebimbe,fr FRA,"DF,MF",Eint Frankfurt,de Bundesliga,21,2000,11.8,17,1.44,12,1,1,3,0,0,1,0.08,1,0,0,0,0,0
Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,31,1991,1.1,8,7.35,6,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Eren Dinkçi,de GER,"FW,MF",Werder Bremen,de Bundesliga,20,2001,2.6,8,3.12,5,0,2,1,0,0,1,0.39,1,0,0,0,0,0
Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21,2001,21.7,13,0.60,9,1,1,1,0,1,1,0.05,0,1,0,0,0,0
Lois Diony,fr FRA,FW,Angers,fr Ligue 1,29,1992,5.6,11,1.96,7,0,2,1,1,0,0,0.00,0,0,0,0,0,0
Edan Diop,fr FRA,"DF,FW",Monaco,fr Ligue 1,17,2004,2.5,7,2.83,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Issa Diop,fr FRA,DF,Fulham,eng Premier League,25,1997,22.4,9,0.40,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,22,2000,13.6,57,4.18,37,8,5,3,2,2,8,0.59,5,1,0,2,0,0
Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22,2000,0.7,7,9.69,4,2,1,0,0,0,2,2.77,1,1,0,0,0,0
Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,22,1999,31.0,4,0.13,2,2,0,0,0,0,1,0.03,1,0,0,0,0,0
Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,24,1998,37.0,26,0.70,22,1,0,2,0,1,6,0.16,5,0,0,1,0,0
Malcom Abdulai Ares Djalo,es ESP,"FW,MF",Athletic Club,es La Liga,20,2001,0.9,12,13.01,7,0,2,1,2,0,0,0.00,0,0,0,0,0,0
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22,2000,22.4,10,0.45,8,0,0,1,1,0,3,0.13,2,0,0,0,1,0
Djené,tg TOG,DF,Getafe,es La Liga,30,1991,31.6,31,0.98,23,2,2,1,3,0,7,0.22,7,0,0,0,0,0
Moussa Djenepo,ml MLI,"DF,FW",Southampton,eng Premier League,24,1998,7.9,17,2.15,12,0,2,1,2,0,4,0.51,2,0,2,0,0,0
Koffi Djidji,ci CIV,DF,Torino,it Serie A,29,1992,26.9,18,0.67,16,0,0,0,0,2,1,0.04,1,0,0,0,0,0
Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,27,1994,29.7,24,0.81,22,1,0,1,0,0,5,0.17,5,0,0,0,0,0
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,29,1993,20.0,10,0.50,8,0,0,1,1,0,4,0.20,3,0,0,1,0,0
Moussa Djitte,sn SEN,FW,Ajaccio,fr Ligue 1,22,1999,1.5,2,1.31,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,24,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,30,1992,14.1,4,0.28,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Alan Do Marcolino,ga GAB,FW,Rennes,fr Ligue 1,20,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ben Doak,sct SCO,FW,Liverpool,eng Premier League,16,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ritsu Doan,jp JPN,"MF,FW",Freiburg,de Bundesliga,24,1998,26.9,72,2.68,45,1,10,5,9,2,10,0.37,6,0,1,0,3,0
Dodô,br BRA,DF,Fiorentina,it Serie A,23,1998,25.9,65,2.51,58,2,1,2,1,1,5,0.19,5,0,0,0,0,0
Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24,1998,24.6,21,0.85,19,0,0,0,2,0,3,0.12,2,0,0,0,1,0
Matt Doherty,ie IRL,"DF,MF",Tottenham,eng Premier League,30,1992,7.4,18,2.43,13,0,2,2,1,0,3,0.41,2,0,0,1,0,0
Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,30,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20,2002,15.0,35,2.32,23,6,3,1,2,0,7,0.46,5,0,1,0,1,0
Jeremy Doku,be BEL,"MF,FW",Rennes,fr Ligue 1,20,2002,14.3,81,5.65,52,1,22,2,3,1,10,0.70,1,0,7,1,1,0
Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,24,1997,2.2,1,0.45,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Kasper Dolberg,dk DEN,"FW,MF",Hoffenheim,de Bundesliga,24,1997,4.5,8,1.79,6,0,0,0,1,1,1,0.22,1,0,0,0,0,0
Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,21,2001,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,24,1998,25.6,71,2.78,61,2,3,1,3,1,5,0.20,5,0,0,0,0,0
John Donald,es ESP,"MF,DF",Elche,es La Liga,21,2000,12.1,6,0.49,6,0,0,0,0,0,1,0.08,1,0,0,0,0,0
Giulio Donati,it ITA,DF,Monza,it Serie A,32,1990,4.7,4,0.85,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Kyliane Dong,fr FRA,"MF,FW",Troyes,fr Ligue 1,17,2004,2.4,5,2.11,2,1,0,1,1,0,2,0.85,1,0,0,0,1,0
Jordan Dongmo,cm CMR,MF,Troyes,fr Ligue 1,21,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,23,1999,37.9,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,24,1998,5.4,8,1.49,6,0,0,0,2,0,0,0.00,0,0,0,0,0,0
Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,24,1997,37.9,24,0.63,21,0,0,2,0,1,2,0.05,2,0,0,0,0,0
Jodel Dossou,bj BEN,"MF,DF",Clermont Foot,fr Ligue 1,30,1992,2.9,5,1.74,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Lohann Doucet,fr FRA,"MF,FW",Nantes,fr Ligue 1,19,2002,1.0,6,5.93,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,29,1993,17.0,45,2.65,38,0,3,2,0,2,3,0.18,3,0,0,0,0,0
Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,22,2000,30.8,61,1.98,48,0,2,5,2,4,6,0.20,4,0,0,1,0,1
Ckene Doucouré,km COM,"FW,MF",Lorient,fr Ligue 1,20,2002,1.5,12,7.88,10,0,0,1,1,0,2,1.31,1,0,0,0,1,0
Désiré Doué,fr FRA,"MF,FW",Rennes,fr Ligue 1,17,2005,12.4,35,2.82,23,3,3,1,3,2,2,0.16,2,0,0,0,0,0
Guela Doué,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,19,2003,25.5,20,0.78,17,0,1,1,1,0,2,0.08,2,0,0,0,0,0
Kamory Doumbia,ml MLI,MF,Reims,fr Ligue 1,19,2003,12.8,41,3.19,34,0,2,2,2,1,3,0.23,3,0,0,0,0,0
Souleyman Doumbia,ci CIV,"DF,FW",Angers,fr Ligue 1,25,1996,19.9,32,1.61,25,0,3,0,3,1,0,0.00,0,0,0,0,0,0
Flynn Downes,eng ENG,MF,West Ham,eng Premier League,23,1999,8.5,13,1.54,8,0,0,3,2,0,0,0.00,0,0,0,0,0,0
Kami Doyle,eng ENG,MF,Southampton,eng Premier League,16,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,24,1997,32.7,7,0.21,6,1,0,0,0,0,2,0.06,2,0,0,0,0,0
Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,20,2001,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dion Drena Beljo,hr CRO,FW,Augsburg,de Bundesliga,20,2002,12.5,25,1.99,20,0,0,3,1,1,5,0.40,3,0,0,2,0,0
Dominick Drexler,de GER,"MF,FW",Schalke 04,de Bundesliga,32,1990,15.2,46,3.03,34,6,2,1,2,1,5,0.33,4,0,1,0,0,0
Domingos Duarte,pt POR,DF,Getafe,es La Liga,27,1995,29.5,15,0.51,13,0,0,2,0,0,3,0.10,2,0,0,1,0,0
Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,33,1989,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,28,1994,31.7,109,3.44,67,30,5,4,3,0,24,0.76,16,4,2,1,1,0
Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,27,1994,11.8,20,1.69,13,1,1,2,2,1,2,0.17,1,0,0,1,0,0
Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,27,1994,7.7,22,2.88,17,2,2,0,1,0,3,0.39,2,0,1,0,0,0
Shane Duffy,ie IRL,"DF,FW",Fulham,eng Premier League,30,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rémy Dugimont,fr FRA,"FW,MF",Auxerre,fr Ligue 1,36,1986,1.3,5,3.95,4,0,0,0,1,0,1,0.79,1,0,0,0,0,0
Denzel Dumfries,nl NED,DF,Inter,it Serie A,26,1996,24.6,71,2.88,48,4,1,9,8,1,11,0.45,6,0,0,2,3,0
Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,29,1993,12.3,39,3.17,32,2,1,2,1,1,5,0.41,3,0,1,1,0,0
Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,30,1991,36.0,32,0.89,31,0,0,1,0,0,2,0.06,2,0,0,0,0,0
Maxime Dupé,fr FRA,GK,Toulouse,fr Ligue 1,29,1993,38.0,2,0.05,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Jhon Durán,co COL,"FW,MF",Aston Villa,eng Premier League,18,2003,1.5,5,3.31,3,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Pablo Durán,es ESP,"MF,DF",Celta Vigo,es La Liga,21,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Julien Duranville,be BEL,MF,Dortmund,de Bundesliga,16,2006,0.3,5,15.52,3,0,2,0,0,0,1,3.10,1,0,0,0,0,0
Hugo Duro,es ESP,FW,Valencia,es La Liga,22,1999,15.4,22,1.43,17,0,2,0,3,0,2,0.13,1,0,0,0,1,0
Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,25,1997,27.9,48,1.72,32,4,5,0,7,0,4,0.14,0,0,0,0,4,0
Paulo Dybala,ar ARG,"MF,FW",Roma,it Serie A,28,1993,19.3,104,5.38,48,29,4,10,13,0,8,0.41,4,2,0,1,1,0
Edin Džeko,ba BIH,FW,Inter,it Serie A,36,1986,19.2,61,3.16,47,0,1,12,1,0,11,0.57,7,0,1,3,0,0
Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,eng Premier League,18,2003,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Festy Ebosele,ie IRL,DF,Udinese,it Serie A,19,2002,4.6,11,2.41,8,0,2,0,0,1,2,0.44,2,0,0,0,0,0
Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,23,1999,10.3,8,0.78,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,26,1995,21.4,29,1.36,22,5,0,1,1,0,4,0.19,3,0,0,1,0,0
Ederson,br BRA,GK,Manchester City,eng Premier League,28,1993,35.0,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Éderson,br BRA,MF,Atalanta,it Serie A,23,1999,24.6,55,2.23,37,1,7,7,1,2,5,0.20,3,0,1,0,1,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,24,1998,20.0,44,2.20,32,0,1,9,2,0,4,0.20,4,0,0,0,0,0
Samuel Edozie,eng ENG,"FW,MF",Southampton,eng Premier League,19,2003,6.3,20,3.18,13,0,3,0,4,0,0,0.00,0,0,0,0,0,0
Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,25,1996,27.2,50,1.84,44,0,1,1,3,1,5,0.18,4,0,0,0,1,0
Lilian Egloff,de GER,"MF,FW",Stuttgart,de Bundesliga,19,2002,2.7,10,3.75,8,0,0,1,1,0,2,0.75,2,0,0,0,0,0
Íñigo Eguaras,es ESP,MF,Almería,es La Liga,30,1992,10.7,25,2.33,22,0,0,1,1,1,2,0.19,2,0,0,0,0,0
Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,27,1995,17.1,31,1.82,22,2,0,5,1,1,3,0.18,2,0,0,0,1,0
Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,27,1995,0.7,1,1.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Julian Eitschberger,de GER,FW,Hertha BSC,de Bundesliga,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Chidera Ejuke,ng NGA,"FW,MF",Hertha BSC,de Bundesliga,24,1998,9.9,41,4.16,28,0,9,1,2,1,5,0.51,5,0,0,0,0,0
Albin Ekdal,se SWE,MF,Spezia,it Serie A,33,1989,19.3,35,1.82,26,0,1,4,2,2,1,0.05,1,0,0,0,0,0
Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,20,2002,12.8,33,2.57,25,0,3,2,3,0,7,0.55,6,0,1,0,0,0
Emmanuel Ekong,se SWE,"FW,MF",Empoli,it Serie A,20,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,20,2002,4.7,17,3.59,13,0,0,3,1,0,1,0.21,1,0,0,0,0,0
Alberth Elis,hn HON,"MF,FW",Brest,fr Ligue 1,26,1996,2.9,12,4.20,6,0,1,1,3,1,0,0.00,0,0,0,0,0,0
Mikael Ellertsson,is ISL,"MF,DF",Spezia,it Serie A,20,2002,1.9,5,2.65,2,0,1,1,1,0,0,0.00,0,0,0,0,0,0
Harvey Elliott,za RSA,"FW,MF",Liverpool,eng Premier League,19,2003,17.9,,,,,,,,,,,,,,,,
Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,22,1999,18.1,57,3.15,41,6,6,2,2,0,10,0.55,7,1,1,1,0,0
Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,30,1992,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,28,1994,16.1,9,0.56,5,2,0,2,0,0,2,0.12,0,1,0,1,0,0
Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,25,1996,31.4,17,0.54,17,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Rodrigo Ely,br BRA,DF,Almería,es La Liga,28,1993,35.1,21,0.60,14,1,1,5,0,0,2,0.06,2,0,0,0,0,0
Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,eng Premier League,27,1994,24.1,41,1.70,34,0,1,2,3,1,4,0.17,4,0,0,0,0,0
Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,30,1992,16.4,62,3.79,29,19,7,2,4,1,9,0.55,3,2,1,2,1,0
Adri Embarba,es ESP,FW,Espanyol,es La Liga,30,1992,0.4,2,5.14,0,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,25,1997,20.7,63,3.05,42,0,6,8,6,1,10,0.48,5,0,1,3,1,0
Emerson,br BRA,DF,Tottenham,eng Premier League,23,1999,19.3,36,1.87,32,0,0,1,2,1,2,0.10,2,0,0,0,0,0
Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,25,1997,18.5,32,1.73,21,1,2,6,2,0,5,0.27,3,0,1,1,0,0
Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,29,1993,32.5,84,2.59,67,0,3,4,7,3,9,0.28,5,0,0,1,2,1
Arne Engels,be BEL,MF,Augsburg,de Bundesliga,18,2003,16.0,47,2.94,22,17,1,2,4,1,8,0.50,5,1,1,0,0,1
Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,30,1992,22.8,71,3.12,50,17,1,3,0,0,9,0.40,6,3,0,0,0,0
Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,24,1998,25.9,10,0.39,8,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Tjark Ernst,de GER,GK,Hertha BSC,de Bundesliga,19,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gonzalo Escalante,ar ARG,MF,Cremonese,it Serie A,29,1993,6.2,10,1.62,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,29,1993,12.5,25,2.01,22,0,2,1,0,0,3,0.24,1,0,1,1,0,0
Sergio Escudero,es ESP,DF,Valladolid,es La Liga,32,1989,16.0,35,2.19,20,7,0,6,2,0,0,0.00,0,0,0,0,0,0
Alfonso Espino,uy URU,DF,Cádiz,es La Liga,30,1992,34.7,70,2.02,59,6,1,0,2,2,7,0.20,5,1,1,0,0,0
Bernardo Espinosa,co COL,DF,Girona,es La Liga,33,1989,13.6,9,0.66,6,0,0,3,0,0,2,0.15,1,0,0,1,0,0
Salvatore Esposito,it ITA,MF,Spezia,it Serie A,21,2000,10.8,28,2.60,13,11,0,1,3,0,0,0.00,0,0,0,0,0,0
Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,20,2002,18.3,7,0.38,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,24,1998,29.7,87,2.93,78,4,3,0,2,0,8,0.27,7,0,0,0,1,0
Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,34,1988,11.7,4,0.34,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Edu Expósito,es ESP,MF,Espanyol,es La Liga,25,1996,12.9,45,3.49,30,5,4,3,2,1,9,0.70,8,0,1,0,0,0
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,24,1998,29.3,118,4.03,69,21,11,4,11,2,16,0.55,9,1,5,0,1,0
Kimberly Ezekwem,de GER,DF,Freiburg,de Bundesliga,21,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,es La Liga,22,2000,5.7,21,3.67,18,2,0,1,0,0,2,0.35,2,0,0,0,0,0
Abdessamad Ezzalzouli,ma MAR,"FW,MF",Osasuna,es La Liga,20,2001,16.7,58,3.47,27,5,18,4,3,1,4,0.24,4,0,0,0,0,0
Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,37,1985,34.6,2,0.06,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabinho,br BRA,MF,Liverpool,eng Premier League,28,1993,29.7,55,1.85,49,0,0,1,2,3,8,0.27,7,0,0,0,1,0
Fábio,br BRA,"DF,MF",Nantes,fr Ligue 1,32,1990,2.5,10,4.00,10,0,0,0,0,0,1,0.40,1,0,0,0,0,0
Noah Fadiga,sn SEN,DF,Brest,fr Ligue 1,22,1999,14.5,15,1.03,8,0,3,0,3,1,2,0.14,1,0,1,0,0,0
Wout Faes,be BEL,DF,Leicester City,eng Premier League,24,1998,31.0,22,0.71,16,0,1,3,0,2,4,0.13,3,0,0,0,0,1
Wout Faes,be BEL,DF,Reims,fr Ligue 1,24,1998,3.0,3,1.00,3,0,0,0,0,0,2,0.67,2,0,0,0,0,0
Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,21,2001,16.9,39,2.31,25,4,1,4,5,0,7,0.41,4,1,0,0,2,0
Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,33,1988,11.4,4,0.35,1,3,0,0,0,0,0,0.00,0,0,0,0,0,0
Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,24,1998,13.8,45,3.25,27,1,10,3,4,0,9,0.65,5,0,4,0,0,0
Romain Faivre,fr FRA,MF,Lyon,fr Ligue 1,24,1998,3.3,13,3.87,10,3,0,0,0,0,1,0.30,0,1,0,0,0,0
Radamel Falcao,co COL,"FW,MF",Rayo Vallecano,es La Liga,36,1986,6.8,10,1.46,7,0,1,1,1,0,0,0.00,0,0,0,0,0,0
Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,27,1995,38.0,6,0.16,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Fali,es ESP,"DF,MF",Cádiz,es La Liga,28,1993,19.0,11,0.58,9,1,0,0,1,0,1,0.05,1,0,0,0,0,0
Fallou Fall,sn SEN,DF,Reims,fr Ligue 1,18,2004,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mamadou Fall,sn SEN,DF,Villarreal,es La Liga,19,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,30,1991,16.5,28,1.70,18,2,4,4,0,0,4,0.24,2,0,1,1,0,0
Ansu Fati,es ESP,FW,Barcelona,es La Liga,19,2002,15.5,50,3.23,35,1,8,5,0,1,7,0.45,4,0,1,2,0,0
Khalil Fayad,fr FRA,MF,Montpellier,fr Ligue 1,18,2004,8.0,19,2.38,15,2,1,1,0,0,5,0.63,4,0,0,1,0,0
Cheikh Faye,sn SEN,FW,Montpellier,fr Ligue 1,23,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Federico Fazio,ar ARG,DF,Salernitana,it Serie A,35,1987,11.9,12,1.00,7,1,0,4,0,0,0,0.00,0,0,0,0,0,0
Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,19,2003,9.2,24,2.62,16,3,2,1,2,0,1,0.11,0,1,0,0,0,0
Zouhair Feddal,ma MAR,DF,Valladolid,es La Liga,33,1989,4.2,4,0.96,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Nabil Fekir,fr FRA,MF,Betis,es La Liga,29,1993,10.7,56,5.24,31,10,4,2,9,0,5,0.47,2,0,1,0,2,0
Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,33,1989,15.8,15,0.95,10,0,0,4,1,0,1,0.06,1,0,0,0,0,0
Felipe,br BRA,DF,Atlético Madrid,es La Liga,33,1989,2.2,1,0.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luiz Felipe,it ITA,DF,Betis,es La Liga,25,1997,19.6,7,0.36,6,0,0,1,0,0,1,0.05,1,0,0,0,0,0
João Félix,pt POR,"FW,MF",Chelsea,eng Premier League,22,1999,10.5,31,2.96,13,2,6,4,6,0,1,0.10,1,0,0,0,0,0
João Félix,pt POR,"FW,MF",Atlético Madrid,es La Liga,22,1999,7.2,29,4.02,22,0,3,3,0,1,5,0.69,4,0,0,1,0,0
