Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Malcom Abdulai Ares Djalo,es ESP,"FW,MF",Athletic Club,es La Liga,20,2001,0.9,0,0,0,2,8,0,8,2,2,0,0,0,7,3,0,100.0
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22,2000,22.4,7,0,0,19,18,1,3,23,21,1,1,1,167,28,31,47.5
Djené,tg TOG,DF,Getafe,es La Liga,30,1991,31.6,10,1,0,49,38,1,23,42,28,0,2,0,204,53,30,63.9
Moussa Djenepo,ml MLI,"DF,FW",Southampton,eng Premier League,24,1998,7.9,1,0,0,11,19,1,12,11,11,0,0,0,56,3,10,23.1
Koffi Djidji,ci CIV,DF,Torino,it Serie A,29,1992,26.9,3,0,0,27,3,1,13,34,25,0,2,0,141,47,50,48.5
Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,27,1994,29.7,8,1,0,39,26,2,6,66,36,0,0,0,162,92,35,72.4
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,29,1993,20.0,3,0,0,15,8,0,0,36,19,0,0,0,112,59,42,58.4
Moussa Djitte,sn SEN,FW,Ajaccio,fr Ligue 1,22,1999,1.5,0,0,0,4,3,0,0,0,0,0,0,0,5,5,6,45.5
Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,24,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,30,1992,14.1,1,0,0,0,1,0,0,0,0,0,0,0,23,4,0,100.0
Alan Do Marcolino,ga GAB,FW,Rennes,fr Ligue 1,20,2002,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Ben Doak,sct SCO,FW,Liverpool,eng Premier League,16,2005,0.3,0,0,0,1,1,0,0,0,2,0,0,0,5,0,0,
Ritsu Doan,jp JPN,"MF,FW",Freiburg,de Bundesliga,24,1998,26.9,3,0,0,29,52,6,30,14,29,2,0,0,127,9,39,18.8
Dodô,br BRA,DF,Fiorentina,it Serie A,23,1998,25.9,5,1,1,28,40,0,61,25,22,0,1,0,184,19,13,59.4
Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24,1998,24.6,0,0,0,20,14,0,10,29,23,1,1,0,103,61,49,55.5
Matt Doherty,ie IRL,"DF,MF",Tottenham,eng Premier League,30,1992,7.4,0,0,0,11,4,0,18,8,10,0,0,0,31,20,13,60.6
Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,30,1992,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20,2002,15.0,1,0,0,14,7,2,46,11,8,0,0,0,93,16,23,41.0
Jeremy Doku,be BEL,"MF,FW",Rennes,fr Ligue 1,20,2002,14.3,0,0,0,16,36,0,24,5,16,0,0,0,89,3,10,23.1
Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,24,1997,2.2,0,0,0,2,4,0,0,0,0,0,0,0,3,3,4,42.9
Kasper Dolberg,dk DEN,"FW,MF",Hoffenheim,de Bundesliga,24,1997,4.5,0,0,0,5,6,2,1,0,5,0,0,0,6,9,9,50.0
Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,21,2001,1.2,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,100.0
Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,24,1998,25.6,10,0,0,43,32,2,19,21,49,0,1,0,167,37,27,57.8
John Donald,es ESP,"MF,DF",Elche,es La Liga,21,2000,12.1,3,1,0,23,8,0,0,14,11,0,0,0,52,28,17,62.2
Giulio Donati,it ITA,DF,Monza,it Serie A,32,1990,4.7,4,2,1,7,6,0,9,4,1,0,0,0,21,4,3,57.1
Kyliane Dong,fr FRA,"MF,FW",Troyes,fr Ligue 1,17,2004,2.4,0,0,0,1,2,3,6,1,1,0,0,0,5,0,3,0.0
Jordan Dongmo,cm CMR,MF,Troyes,fr Ligue 1,21,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,23,1999,37.9,3,0,0,1,4,0,0,0,0,0,1,0,44,7,1,87.5
Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,24,1998,5.4,1,0,0,10,6,0,1,6,12,0,0,0,38,5,7,41.7
Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,24,1997,37.9,5,0,0,26,40,1,5,32,30,0,2,0,191,100,76,56.8
Jodel Dossou,bj BEN,"MF,DF",Clermont Foot,fr Ligue 1,30,1992,2.9,0,0,0,3,3,3,10,1,4,0,0,0,7,1,4,20.0
Lohann Doucet,fr FRA,"MF,FW",Nantes,fr Ligue 1,19,2002,1.0,0,0,0,2,0,0,0,2,0,0,0,0,11,0,2,0.0
Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,29,1993,17.0,6,1,0,21,4,8,8,13,20,0,1,0,100,13,30,30.2
Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,22,2000,30.8,10,1,1,38,13,0,6,56,46,0,0,0,220,30,29,50.8
Ckene Doucouré,km COM,"FW,MF",Lorient,fr Ligue 1,20,2002,1.5,0,0,0,8,9,0,0,1,2,1,0,0,5,5,6,45.5
Désiré Doué,fr FRA,"MF,FW",Rennes,fr Ligue 1,17,2005,12.4,5,0,0,37,28,4,30,13,18,0,0,0,64,10,13,43.5
Guela Doué,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,19,2003,25.5,5,0,0,30,27,0,11,27,24,0,0,0,148,29,37,43.9
Kamory Doumbia,ml MLI,MF,Reims,fr Ligue 1,19,2003,12.8,0,0,0,15,9,0,9,13,16,0,0,0,83,7,22,24.1
Souleyman Doumbia,ci CIV,"DF,FW",Angers,fr Ligue 1,25,1996,19.9,2,1,0,27,20,3,48,27,31,0,0,0,118,18,14,56.3
Flynn Downes,eng ENG,MF,West Ham,eng Premier League,23,1999,8.5,2,0,0,8,12,0,3,7,9,0,0,0,44,9,12,42.9
Kami Doyle,eng ENG,MF,Southampton,eng Premier League,16,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,24,1997,32.7,1,0,0,0,6,0,0,1,0,0,0,0,38,8,1,88.9
